               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.039052,           0.0041291,                   0,             0.94911,             0.78283,             0.82108,             0.66057,            0.019154,           0.0021562,                   0,            0.002632,            0.002632,            0.007182
                  65,            0.038443,           0.0040626,                   0,             0.95852,             0.81703,             0.85917,             0.68134,             0.01865,           0.0020514,                   0,            0.002664,            0.002664,            0.006514
                  66,            0.037088,           0.0040533,                   0,             0.97946,              0.9634,             0.97889,             0.73656,            0.015677,            0.001915,                   0,           0.0026956,           0.0026956,           0.0058456
                  67,            0.038676,           0.0040681,                   0,             0.98346,             0.96465,             0.98443,             0.81871,            0.013177,           0.0019188,                   0,           0.0027269,           0.0027269,           0.0051769
                  68,            0.040326,           0.0040056,                   0,             0.96524,             0.84157,             0.88488,             0.69626,            0.018156,           0.0019994,                   0,           0.0027578,           0.0027578,           0.0045078
                  69,            0.040178,           0.0038889,                   0,             0.96679,             0.88204,             0.92337,             0.73428,            0.016001,           0.0019431,                   0,           0.0027883,           0.0027883,           0.0038383
                  70,            0.038603,           0.0039188,                   0,             0.99464,              0.9596,             0.98947,             0.81492,            0.013094,           0.0018318,                   0,           0.0028185,           0.0028185,           0.0031685
                  71,            0.042563,           0.0038996,                   0,             0.90419,             0.57576,             0.60962,             0.46524,            0.028067,           0.0021586,                   0,           0.0028284,           0.0028284,           0.0028284
                  72,            0.040454,            0.003736,                   0,                   1,             0.87355,             0.89653,             0.75402,            0.015801,           0.0018336,                   0,           0.0028284,           0.0028284,           0.0028284
                  73,            0.039204,           0.0038235,                   0,             0.97339,             0.57576,             0.66591,             0.50378,            0.024903,           0.0020724,                   0,           0.0028184,           0.0028184,           0.0028184
                  74,            0.039763,           0.0038521,                   0,             0.99472,             0.99495,              0.9949,             0.82698,            0.012297,            0.001707,                   0,           0.0028082,           0.0028082,           0.0028082
                  75,            0.037837,           0.0038038,                   0,             0.99474,              0.9596,               0.993,             0.85412,            0.010944,           0.0016438,                   0,            0.002798,            0.002798,            0.002798
                  76,            0.038516,           0.0036223,                   0,             0.95933,             0.86364,             0.93405,             0.72807,            0.016181,           0.0016849,                   0,           0.0027876,           0.0027876,           0.0027876
                  77,            0.035142,           0.0036243,                   0,             0.99991,                   1,               0.995,             0.84658,            0.012274,           0.0015669,                   0,           0.0027771,           0.0027771,           0.0027771
                  78,            0.039644,           0.0035282,                   0,             0.97233,             0.72727,              0.7942,             0.64067,            0.021227,           0.0018476,                   0,           0.0027665,           0.0027665,           0.0027665
                  79,            0.038206,           0.0035377,                   0,                   1,             0.94921,             0.96977,             0.80148,            0.013642,           0.0015996,                   0,           0.0027558,           0.0027558,           0.0027558
                  80,            0.036356,           0.0035715,                   0,             0.97949,             0.77778,             0.83534,             0.69194,            0.018373,           0.0017595,                   0,            0.002745,            0.002745,            0.002745
                  81,            0.033239,           0.0034922,                   0,             0.99998,              0.9798,             0.99424,             0.85012,            0.012049,           0.0015172,                   0,           0.0027341,           0.0027341,           0.0027341
                  82,            0.035013,           0.0033997,                   0,                0.99,             0.99984,             0.99439,             0.86569,            0.011081,            0.001523,                   0,           0.0027231,           0.0027231,           0.0027231
                  83,            0.034999,           0.0034223,                   0,             0.99961,                   1,               0.995,             0.88155,           0.0090531,           0.0014667,                   0,            0.002712,            0.002712,            0.002712
                  84,            0.036969,           0.0033281,                   0,             0.97393,             0.94949,             0.96808,             0.80642,            0.013128,           0.0015677,                   0,           0.0027008,           0.0027008,           0.0027008
                  85,            0.035809,           0.0033965,                   0,             0.99484,                   1,               0.995,             0.86677,           0.0097437,           0.0014095,                   0,           0.0026895,           0.0026895,           0.0026895
                  86,            0.033474,           0.0032483,                   0,                   1,             0.99993,               0.995,             0.88549,           0.0094584,           0.0014404,                   0,           0.0026781,           0.0026781,           0.0026781
                  87,            0.031945,           0.0032559,                   0,                   1,             0.98479,             0.99429,             0.84051,            0.011243,           0.0013709,                   0,           0.0026666,           0.0026666,           0.0026666
                  88,            0.034817,           0.0032517,                   0,             0.98844,              0.8635,             0.93479,             0.79695,            0.013697,           0.0014483,                   0,            0.002655,            0.002655,            0.002655
                  89,            0.035303,           0.0031827,                   0,             0.99984,                   1,               0.995,             0.85749,            0.010091,           0.0013356,                   0,           0.0026433,           0.0026433,           0.0026433
                  90,            0.035899,           0.0032169,                   0,             0.99961,             0.94444,             0.97354,             0.82333,            0.013072,           0.0013679,                   0,           0.0026315,           0.0026315,           0.0026315
                  91,            0.034119,           0.0031543,                   0,              0.9666,             0.87689,             0.91308,             0.79622,             0.01229,           0.0014679,                   0,           0.0026196,           0.0026196,           0.0026196
                  92,            0.034333,           0.0030516,                   0,                   1,              0.9999,               0.995,             0.90169,           0.0085224,           0.0013132,                   0,           0.0026076,           0.0026076,           0.0026076
                  93,            0.036296,           0.0032209,                   0,                   1,                   1,               0.995,             0.88168,           0.0095944,           0.0012454,                   0,           0.0025956,           0.0025956,           0.0025956
                  94,            0.033171,           0.0030239,                   0,             0.99488,             0.98485,             0.99465,             0.86122,            0.010421,            0.001214,                   0,           0.0025834,           0.0025834,           0.0025834
                  95,             0.03396,           0.0030765,                   0,             0.99997,                   1,               0.995,             0.89478,           0.0081434,           0.0012058,                   0,           0.0025712,           0.0025712,           0.0025712
                  96,            0.030822,           0.0029332,                   0,             0.98994,                   1,             0.99485,             0.88546,           0.0093305,           0.0011954,                   0,           0.0025589,           0.0025589,           0.0025589
                  97,            0.029664,           0.0028374,                   0,             0.99998,                   1,               0.995,             0.90731,           0.0079986,           0.0012294,                   0,           0.0025464,           0.0025464,           0.0025464
                  98,            0.033708,           0.0029659,                   0,             0.99982,                   1,               0.995,             0.89972,           0.0084149,           0.0012181,                   0,            0.002534,            0.002534,            0.002534
                  99,            0.033726,           0.0030336,                   0,             0.99497,             0.99996,             0.99445,              0.9018,           0.0090159,           0.0011896,                   0,           0.0025214,           0.0025214,           0.0025214
                 100,            0.032745,           0.0028819,                   0,             0.99999,                   1,               0.995,             0.91114,           0.0076911,           0.0011668,                   0,           0.0025087,           0.0025087,           0.0025087
                 101,            0.028173,           0.0027938,                   0,                   1,             0.99996,               0.995,             0.90805,           0.0095662,           0.0011151,                   0,            0.002496,            0.002496,            0.002496
                 102,            0.031411,            0.002883,                   0,             0.99995,                   1,               0.995,             0.89486,           0.0089489,           0.0011358,                   0,           0.0024832,           0.0024832,           0.0024832
                 103,             0.02992,           0.0027302,                   0,             0.99495,             0.99494,             0.99495,             0.87543,            0.009323,           0.0011107,                   0,           0.0024703,           0.0024703,           0.0024703
                 104,            0.028729,           0.0026791,                   0,                   1,             0.99996,               0.995,             0.88333,           0.0096065,           0.0010855,                   0,           0.0024574,           0.0024574,           0.0024574
                 105,            0.032647,           0.0027484,                   0,             0.99991,                   1,               0.995,             0.89172,           0.0092232,           0.0010983,                   0,           0.0024443,           0.0024443,           0.0024443
                 106,            0.030992,           0.0027262,                   0,             0.99487,                   1,             0.99229,             0.91929,            0.007759,           0.0010897,                   0,           0.0024312,           0.0024312,           0.0024312
                 107,            0.030972,           0.0026071,                   0,             0.99492,              0.9899,             0.99297,             0.83061,            0.010623,            0.001079,                   0,            0.002418,            0.002418,            0.002418
                 108,            0.030033,           0.0026827,                   0,             0.99996,                   1,               0.995,              0.9127,           0.0078314,           0.0010403,                   0,           0.0024048,           0.0024048,           0.0024048
                 109,            0.028995,           0.0025865,                   0,                   1,             0.98485,             0.98738,             0.85406,           0.0099374,           0.0010214,                   0,           0.0023915,           0.0023915,           0.0023915
                 110,            0.030229,           0.0025894,                   0,             0.98868,             0.88384,             0.92111,             0.79837,            0.012756,           0.0011727,                   0,           0.0023781,           0.0023781,           0.0023781
                 111,            0.029848,           0.0025704,                   0,             0.99996,                   1,               0.995,             0.91122,           0.0075879,           0.0010337,                   0,           0.0023647,           0.0023647,           0.0023647
                 112,            0.030554,           0.0025651,                   0,             0.99497,             0.99996,               0.995,             0.90194,           0.0081528,           0.0010105,                   0,           0.0023512,           0.0023512,           0.0023512
                 113,            0.031666,           0.0025188,                   0,             0.99497,             0.99998,             0.99204,             0.91829,           0.0069547,           0.0010276,                   0,           0.0023376,           0.0023376,           0.0023376
                 114,            0.026632,           0.0026189,                   0,             0.99999,                   1,               0.995,             0.91708,           0.0073501,           0.0010165,                   0,            0.002324,            0.002324,            0.002324
                 115,            0.028294,           0.0025562,                   0,             0.99993,                   1,               0.995,             0.88621,           0.0094294,            0.001005,                   0,           0.0023103,           0.0023103,           0.0023103
                 116,             0.03057,           0.0026031,                   0,                   1,             0.99996,               0.995,              0.8869,           0.0085732,          0.00095025,                   0,           0.0022966,           0.0022966,           0.0022966
                 117,             0.03064,           0.0024593,                   0,                   1,             0.99996,               0.995,             0.88616,           0.0083235,          0.00096454,                   0,           0.0022828,           0.0022828,           0.0022828
                 118,              0.0317,           0.0025083,                   0,             0.98991,             0.99495,             0.99094,             0.84451,           0.0099568,           0.0010251,                   0,           0.0022689,           0.0022689,           0.0022689
                 119,             0.02795,           0.0024196,                   0,                   1,             0.99995,               0.995,             0.93528,            0.005971,          0.00097347,                   0,            0.002255,            0.002255,            0.002255
                 120,            0.030593,            0.002524,                   0,             0.98447,             0.96465,             0.99214,             0.88286,           0.0097246,          0.00099303,                   0,           0.0022411,           0.0022411,           0.0022411
                 121,            0.030068,           0.0024438,                   0,                   1,             0.91413,             0.98415,             0.86921,            0.010435,           0.0010179,                   0,           0.0022271,           0.0022271,           0.0022271
                 122,            0.027499,           0.0024356,                   0,             0.98992,             0.99495,              0.9949,              0.8946,           0.0089117,          0.00089821,                   0,            0.002213,            0.002213,            0.002213
                 123,            0.028527,           0.0023082,                   0,             0.99423,                   1,             0.99475,             0.89697,           0.0078407,          0.00089672,                   0,            0.002199,            0.002199,            0.002199
                 124,            0.027442,           0.0023358,                   0,             0.99998,             0.99495,               0.995,             0.88288,           0.0087087,          0.00092466,                   0,           0.0021848,           0.0021848,           0.0021848
                 125,            0.031059,           0.0024444,                   0,             0.99999,                   1,               0.995,             0.91065,            0.007643,          0.00086648,                   0,           0.0021706,           0.0021706,           0.0021706
                 126,            0.027821,           0.0023201,                   0,             0.99997,                   1,               0.995,             0.92218,           0.0069774,          0.00086669,                   0,           0.0021564,           0.0021564,           0.0021564
                 127,             0.02832,            0.002338,                   0,                   1,                   1,               0.995,             0.87565,           0.0091683,          0.00088994,                   0,           0.0021422,           0.0021422,           0.0021422
